ANC;PRASA
305026103;67
349039710;67
349412302;67
349424203;67
349433103;67
349433105;67
349433202;67
349436202;67
353043303;12
353043304;12
353043305;12
353192018;3
353192204;7
353192205;7
353219583;5
353219585;5
353221307;3
353222513;2
353223106;67
353241304;67
353241404;67
353241502;5
353241603;5
353241604;5
353244707;2
353244713;2
353244714;2
387240701;4
387242199;4
387242701;1
387251599;4
387307399;2
387314398;4
387384201;4
387384202;4
387384401;4
387384402;4
387384403;4
387384404;4
387384601;4
387384602;4
387385903;4
387385907;4
387385908;4
387385909;4
387386301;4
387386302;4
387386305;4
387386401;4
387386402;4
387386406;4
387439901;4
387452301;7
387463799;4
387720602;1
387723201;1
387723202;1
387723203;1
387728701;67
387728801;67
387734933;4
387734934;4
387734935;4
387734936;4
387734937;4
387734938;4
387735201;67
387736001;3
387736002;3
387736003;3
387773301;3
387773401;3
387796099;24
387796199;24
387796299;24
387796925;24
387796926;24
387797133;24
387797134;24
387797135;24
387797136;24
387797138;24
387797139;24
387797302;24
387797303;24
387797304;24
387797502;24
387797503;24
387797506;12
387918902;24
387960326;24
387960426;24
387966904;1
387966905;1
555010801;7
555016298;4
555031699;3
555046101;2
561175361;5
561203101;67
561340013;4
561340014;4
561340023;4
561340024;4
561340033;4
561340034;4
561340101;67
561340201;67
561415499;1
561442402;1
561442509;1
561442510;1
561442511;1
561442512;1
561457001;67
561492801;67
561509010;7
561509020;7
561574502;1
561575600;67
561609101;67
561609243;4
561609244;4
561609245;4
561609246;4
561609247;4
561609248;4
561623202;67
561623203;67
561623302;67
561623303;67
809203301;1
809203405;1
809211601;1
809211603;1
809211604;1
809212901;1
349560502/602;67
353027909/910;7
353222703/704;67
353222805/806;67
387241100/200;4
387241723/823;4
387683700/701;67
A00622604;1
A00622706;1
A00622707;1
A00622708;1
A00622804;1
A00622904;1
A00622906;1
A00623003;1
A00623004;1
A00623006;1
A00930402;1
A01354601;67
A01354602;67
A01354603;67
A01354701;67
A01354702;67
A01354703;67
A02087002;2
A02138501;2
A02469202;5
A03381401;67
A03889801;2
A03889901;2
A03890004;2
A03968201;2
A03968301;2
A03968401;2
A03968501;2
A03968601;2
A03969001;2
A03969101;2
A03969201;2
A03969301;2
A03969801;2
A04196201;5
A04196202;5
A04196203;5
A04196206;5
A04212903;7
A04212904;7
A04872702;24
A04872706;24
A05758601;4
A05758602;4
A05810503;67
A05810504;67
A06924601;1
A07296804;5
A07537701;1
A07537703;1
A12156601;5
A13125304;1
561435265;5
808501502;5
808501501;5
353902665;5
A12973901;5
