Lp;Kod;szt;Termin
1;349039710;7500;24.01.2018 06:00:00
2;349412302;2500;23.01.2018 06:00:00
3;349412302;2000;24.01.2018 06:00:00
4;349412302;1867;26.01.2018 06:00:00
5;349424203;3000;27.01.2018 06:00:00
6;353027909/910;8000;25.01.2018 06:00:00
7;353043303;3800;23.01.2018 06:00:00
8;353043304;2200;23.01.2018 06:00:00
9;353043304;1800;26.01.2018 06:00:00
10;353043305;2200;23.01.2018 06:00:00
11;353043305;3000;25.01.2018 06:00:00
12;353043305;2150;26.01.2018 06:00:00
13;353192018;2000;24.01.2018 06:00:00
14;353192018;700;26.01.2018 06:00:00
15;353192018;1800;27.01.2018 06:00:00
16;353192205;1200;23.01.2018 06:00:00
17;353192205;2049;24.01.2018 06:00:00
18;353192205;5000;25.01.2018 06:00:00
19;353192205;2400;26.01.2018 06:00:00
20;353192205;5000;27.01.2018 06:00:00
21;353219583;4000;23.01.2018 06:00:00
22;353219583;1450;24.01.2018 06:00:00
23;353219583;3000;26.01.2018 06:00:00
24;353219583;1505;27.01.2018 06:00:00
25;353219585;914;24.01.2018 06:00:00
26;353221307;4000;23.01.2018 06:00:00
27;353221307;3600;27.01.2018 06:00:00
28;353222513;3500;23.01.2018 06:00:00
29;353222513;4000;24.01.2018 06:00:00
30;353222513;4000;25.01.2018 06:00:00
31;353222513;3500;26.01.2018 06:00:00
32;353222513;5291;27.01.2018 06:00:00
33;353222703/704;6000;23.01.2018 06:00:00
34;353222703/704;8900;24.01.2018 06:00:00
35;353222703/704;3080;25.01.2018 06:00:00
36;353222805/806;5000;23.01.2018 06:00:00
37;353222805/806;4000;24.01.2018 06:00:00
38;353222805/806;9085;26.01.2018 06:00:00
39;353223106;2500;23.01.2018 06:00:00
40;353223106;5000;24.01.2018 06:00:00
41;353223106;5000;25.01.2018 06:00:00
42;353223106;5000;26.01.2018 06:00:00
43;353223106;4000;27.01.2018 06:00:00
44;353241304;5000;23.01.2018 06:00:00
45;353241304;5000;25.01.2018 06:00:00
46;353241304;4000;27.01.2018 06:00:00
47;353241404;3300;24.01.2018 06:00:00
48;353241404;5000;25.01.2018 06:00:00
49;353241404;4000;27.01.2018 06:00:00
50;353241502;4000;24.01.2018 06:00:00
51;353241502;4000;25.01.2018 06:00:00
52;353241502;4000;26.01.2018 06:00:00
53;353241502;1380;27.01.2018 06:00:00
54;353241603;6500;24.01.2018 06:00:00
55;353241603;1000;25.01.2018 06:00:00
56;353241603;5600;26.01.2018 06:00:00
57;353241603;2500;27.01.2018 06:00:00
58;353241604;5000;23.01.2018 06:00:00
59;353241604;6300;25.01.2018 06:00:00
60;353241604;5000;27.01.2018 06:00:00
61;353244707;3000;23.01.2018 06:00:00
