Station,Product,Quantity,Start Time,End Time
6,349039710,7500,20.01.2018 08:00:00,20.01.2018 12:37:46
6,349412302,2500,20.01.2018 08:42:00,20.01.2018 10:22:00
6,353222703/704,6000,20.01.2018 13:07:46,20.01.2018 15:54:26
6,353222703/704,8900,20.01.2018 15:20:05,20.01.2018 19:27:19
6,353222805/806,5000,20.01.2018 16:24:26,20.01.2018 19:16:51
6,353222805/806,4000,20.01.2018 19:16:51,20.01.2018 21:34:47
6,353222805/806,9085,20.01.2018 19:57:19,21.01.2018 01:10:35
6,353223106,2500,20.01.2018 22:04:47,20.01.2018 23:48:57
6,353223106,5000,20.01.2018 23:48:57,21.01.2018 03:17:17
6,353223106,5000,21.01.2018 01:40:35,21.01.2018 05:08:55
6,353241304,5000,21.01.2018 03:47:17,21.01.2018 06:52:28
6,353241404,3300,21.01.2018 05:38:55,21.01.2018 07:28:55
6,353241404,5000,21.01.2018 07:22:28,21.01.2018 10:09:08
6,387728801,7700,21.01.2018 10:24:18,21.01.2018 14:04:18
6,387735201,5000,21.01.2018 10:39:08,21.01.2018 14:07:28
6,561575600,5500,21.01.2018 14:37:28,21.01.2018 17:10:15
6,561575600,6000,21.01.2018 17:10:15,21.01.2018 19:56:55
6,561609101,6000,21.01.2018 20:26:55,22.01.2018 00:36:55
6,561609101,6000,21.01.2018 22:38:51,22.01.2018 02:48:51
6,561609101,5500,22.01.2018 00:36:55,22.01.2018 04:26:05
6,353223106,2500,22.01.2018 03:18:51,22.01.2018 05:03:01
6,353222805/806,4000,22.01.2018 04:56:05,22.01.2018 07:14:00
6,353241404,5000,22.01.2018 05:33:01,22.01.2018 08:19:41
6,349412302,2500,22.01.2018 07:44:00,22.01.2018 09:24:00
6,353241404,3300,22.01.2018 08:19:41,22.01.2018 10:09:41
6,353241304,5000,22.01.2018 09:54:00,22.01.2018 12:59:12
6,353222703/704,3080,22.01.2018 12:31:46,22.01.2018 13:57:20
6,353222703/704,3080,22.01.2018 13:29:12,22.01.2018 14:54:45
6,561609101,5000,22.01.2018 14:27:20,22.01.2018 17:55:40
6,353223106,4000,22.01.2018 15:24:45,22.01.2018 18:11:25
6,353241404,3300,22.01.2018 18:25:40,22.01.2018 20:15:40
6,349412302,2000,22.01.2018 18:41:25,22.01.2018 20:01:25
6,561340201,1800,22.01.2018 20:31:25,22.01.2018 21:57:08
6,561492801,3000,22.01.2018 22:27:08,23.01.2018 00:07:08
6,A01354702,3000,23.01.2018 00:37:08,23.01.2018 02:17:08
6,349424203,3000,23.01.2018 01:42:28,23.01.2018 03:22:28
6,387683700/701,3000,23.01.2018 02:47:08,23.01.2018 04:10:28
6,A01354602,2220,23.01.2018 03:52:28,23.01.2018 05:06:28
6,353241304,4000,23.01.2018 04:40:28,23.01.2018 07:08:37
6,561340201,1129,23.01.2018 07:38:37,23.01.2018 08:32:22
6,353223106,4000,23.01.2018 08:00:45,23.01.2018 10:47:25
6,349412302,1867,23.01.2018 09:02:22,23.01.2018 10:17:03
6,561340201,1129,23.01.2018 10:47:03,23.01.2018 11:40:49
6,A01354602,2220,23.01.2018 12:10:49,23.01.2018 13:24:49
6,561492801,2900,23.01.2018 13:54:49,23.01.2018 15:31:29
6,561575600,1935,23.01.2018 16:01:29,23.01.2018 16:55:14
6,561575600,1935,23.01.2018 16:07:21,23.01.2018 17:01:06
6,561340101,2000,23.01.2018 17:25:14,23.01.2018 18:48:34
1,353043303,3800,20.01.2018 08:00:00,20.01.2018 11:57:30
1,353043305,2200,20.01.2018 08:21:00,20.01.2018 10:38:30
1,353043304,2200,20.01.2018 10:52:30,20.01.2018 13:10:00
1,561442509,2000,20.01.2018 12:27:30,20.01.2018 14:50:21
1,353043304,2200,20.01.2018 15:20:21,20.01.2018 17:37:51
1,353043305,2200,20.01.2018 17:51:51,20.01.2018 20:09:21
1,353043305,3000,20.01.2018 20:09:21,20.01.2018 23:16:51
1,561442511,1000,20.01.2018 23:46:51,21.01.2018 00:58:17
1,387242701,3000,21.01.2018 01:28:17,21.01.2018 05:38:17
1,561442509,1250,21.01.2018 06:08:17,21.01.2018 07:37:34
1,561442511,1000,21.01.2018 07:51:34,21.01.2018 09:03:00
1,353043305,2150,21.01.2018 09:33:00,21.01.2018 11:47:22
1,387797506,645,21.01.2018 12:17:22,21.01.2018 13:11:07
1,387797506,645,21.01.2018 13:11:07,21.01.2018 14:04:52
1,353043305,2150,21.01.2018 14:34:52,21.01.2018 16:49:15
1,387797506,645,21.01.2018 17:19:15,21.01.2018 18:13:00
1,A00622706,1800,21.01.2018 18:43:00,21.01.2018 20:51:34
1,561442510,1000,21.01.2018 23:51:34,22.01.2018 01:03:00
1,561442512,1000,22.01.2018 01:17:00,22.01.2018 02:28:25
1,A00623003,1600,22.01.2018 05:28:25,22.01.2018 07:41:45
1,387966904,1500,22.01.2018 08:11:45,22.01.2018 10:41:45
1,387723201,1200,22.01.2018 10:56:45,22.01.2018 12:56:45
1,A07537701,1000,22.01.2018 13:26:45,22.01.2018 14:29:15
1,A00622706,606,22.01.2018 14:59:15,22.01.2018 15:42:32
7,353192205,5000,20.01.2018 10:52:00,20.01.2018 14:50:05
7,387452301,3000,21.01.2018 07:58:55,21.01.2018 09:54:18
7,555010801,5000,21.01.2018 14:34:18,21.01.2018 18:21:35
7,555010801,5000,21.01.2018 18:21:35,21.01.2018 22:08:51
7,A04212904,1806,22.01.2018 10:39:41,22.01.2018 12:01:46
7,A04212904,1806,22.01.2018 20:45:40,22.01.2018 22:07:45
7,353192205,1200,22.01.2018 22:37:45,22.01.2018 23:34:54
7,353192205,2049,22.01.2018 23:34:54,23.01.2018 01:12:28
7,353192205,2400,23.01.2018 05:36:28,23.01.2018 07:30:45
7,561509010,806,23.01.2018 11:17:25,23.01.2018 12:11:09
7,561509020,806,23.01.2018 12:26:09,23.01.2018 13:19:53
7,561509010,806,23.01.2018 13:34:53,23.01.2018 14:28:37
7,561509020,806,23.01.2018 14:43:37,23.01.2018 15:37:21
7,561509010,806,23.01.2018 17:31:06,23.01.2018 18:24:50
7,561509010,806,23.01.2018 18:24:50,23.01.2018 19:18:34
2,353222513,3500,20.01.2018 13:40:00,20.01.2018 17:50:00
2,353222513,4000,20.01.2018 17:50:00,20.01.2018 22:35:42
2,353244707,3000,20.01.2018 23:05:42,21.01.2018 02:13:12
2,387797503,2800,20.01.2018 08:00:00,20.01.2018 11:53:20
2,353244707,3000,21.01.2018 02:13:12,21.01.2018 05:20:42
2,353222513,3500,21.01.2018 05:50:42,21.01.2018 10:00:42
2,387796199,4000,20.01.2018 12:23:20,20.01.2018 17:09:02
